50;167380;4;Male;0;0;40;<=50K
39;203204;12;Female;0;0;25;>50K
35;105138;15;Male;0;0;55;<=50K
54;145714;9;Male;7688;0;25;>50K
24;182276;9;Female;0;0;25;<=50K
20;275385;9;Male;0;0;45;<=50K
30;292472;10;Male;0;0;55;>50K
19;73514;9;Female;0;0;30;<=50K
26;199600;9;Male;0;0;40;<=50K
38;111499;9;Male;0;1977;99;>50K
25;202560;10;Female;0;0;40;<=50K
33;99309;10;Male;0;0;50;<=50K
60;124987;13;Male;7298;0;40;>50K
30;287986;10;Male;0;0;40;<=50K
30;119411;13;Male;0;0;40;<=50K
19;198668;4;Female;0;0;40;<=50K
23;117583;9;Male;0;0;40;<=50K
27;234664;10;Male;0;0;40;>50K
39;176949;12;Male;0;0;52;<=50K
33;189710;4;Male;0;0;45;<=50K
65;205309;9;Male;0;0;24;<=50K
34;195576;13;Male;0;0;50;>50K
20;216825;9;Female;0;0;25;<=50K
25;197036;6;Male;0;0;40;<=50K
28;181291;13;Female;0;1564;50;>50K
31;206512;7;Male;0;0;25;<=50K
28;38309;13;Male;6849;0;40;<=50K
37;312766;9;Female;0;0;40;<=50K
52;139671;10;Male;0;1977;50;>50K
66;38621;11;Female;3273;0;40;<=50K
31;124827;9;Male;0;0;40;<=50K
37;77820;13;Male;0;0;50;>50K
45;56904;13;Male;5013;0;45;<=50K
45;190115;12;Male;0;0;40;<=50K
44;106682;9;Male;0;0;60;<=50K
32;42596;13;Male;0;0;40;<=50K
35;143058;9;Male;0;0;60;>50K
53;102615;7;Male;0;0;40;<=50K
54;139703;10;Male;3103;0;40;>50K
43;240124;11;Male;0;0;40;<=50K
30;132565;10;Male;0;0;40;<=50K
49;323798;10;Male;3325;0;50;<=50K
52;96359;16;Male;0;0;57;>50K
20;165201;10;Female;0;0;4;<=50K
60;165630;9;Male;0;1977;40;>50K
45;264526;12;Male;0;0;40;<=50K
48;102359;13;Male;7298;0;60;>50K
28;37359;13;Male;0;0;60;>50K
48;115497;10;Male;0;0;40;<=50K
32;157747;10;Male;0;0;45;<=50K
27;41099;9;Male;0;0;30;<=50K
38;472604;13;Male;0;0;35;<=50K
33;348618;3;Male;0;0;20;<=50K
43;135606;14;Female;0;0;50;>50K
36;248445;9;Male;0;0;60;<=50K
38;112093;7;Male;0;0;40;<=50K
24;197552;9;Female;0;0;40;<=50K
22;303822;6;Male;0;0;40;<=50K
30;288566;13;Male;0;0;40;<=50K
46;43348;15;Male;15024;0;55;>50K
39;239409;9;Male;0;0;50;<=50K
50;337606;9;Male;0;1485;40;<=50K
34;32528;11;Female;0;974;40;<=50K
47;118447;13;Male;0;0;60;>50K
46;234690;9;Male;0;0;40;<=50K
43;216042;10;Female;0;1617;72;<=50K
45;190482;9;Male;0;0;40;<=50K
55;381965;13;Male;0;0;40;<=50K
68;186943;9;Male;0;0;8;<=50K
39;142707;11;Male;0;0;40;<=50K
39;53447;9;Female;0;0;40;<=50K
37;127772;13;Male;0;0;40;<=50K
19;344414;10;Male;0;0;40;<=50K
20;194138;7;Male;0;0;20;<=50K
33;150154;10;Male;0;0;40;<=50K
21;306114;9;Male;0;0;35;<=50K
58;368797;14;Male;0;0;35;>50K
43;175715;9;Male;0;0;55;<=50K
62;416829;7;Female;0;0;21;<=50K
21;350001;10;Male;0;0;20;<=50K
26;339952;10;Male;0;0;60;<=50K
27;114967;5;Male;0;0;40;<=50K
34;164190;10;Male;0;1902;38;>50K
49;166039;9;Female;0;0;40;<=50K
28;250135;9;Female;0;0;40;<=50K
34;234960;13;Male;0;1887;48;>50K
29;103628;10;Female;0;0;40;>50K
58;430005;6;Male;0;0;50;>50K
45;106517;9;Female;0;0;40;<=50K
47;162236;13;Female;0;0;40;<=50K
